Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
479,Hugo Barbet,fr FRA,GK,Nantes,22,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
480,Abdukodir Khusanov,,CB,Lens,20,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
481,Antoine Mendy,,RB,Nice,20,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
482,Badredine Bouanani,,RW,Nice,20,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
483,Teddy Boulhendi,fr FRA,GK,Nice,23,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
484,Tom Louchet,,RM,Nice,21,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
485,Victor Orakpo,,CF,Nice,18,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
486,Dimitry Bertaud,cd COD,GK,Montpellier,26,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
487,Enzo Tchato,cm CMR,DF,Montpellier,21,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
488,Glenn Ngosso,,CF,Montpellier,21,"€ 2,308 (£ 1,946, $2,583)","€ 120,000 (£ 101,183, $134,317)",Unverified estimation
489,Joris Chotard,fr FRA,MF,Montpellier,22,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
490,Nicolas Pays,,AM,Montpellier,21,"€ 2,308 (£ 1,946, $2,583)","€ 120,000 (£ 101,183, $134,317)",Unverified estimation
491,Othmane Maamma,,RW,Montpellier,18,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
492,Rabby Nzingoula,,DM,Montpellier,19,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
493,Ylies Aradj,,LB,Toulouse,19,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
494,Keyliane Abdallah,,RW,Marseille,18,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
495,Ange Loic N'Gatta,,RB,Auxerre,21,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
496,Nathan Buayi-Kiala,,DM,Auxerre,20,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
497,Théo De Percin,mq MTQ,GK,Auxerre,23,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
498,Alois Confais,fr FRA,MF,Le Havre,27,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
499,Steve Ngoura,,CF,Le Havre,19,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
500,Emmanuel Biumla,,DM,Angers,19,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
501,Himad Abdelli,dz ALG,"MF,FW",Angers,24,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
502,Melvin Zinga,,GK,Angers,22,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
503,Adama Bojang,,CF,Reims,20,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
504,Amadou Koné,,DM,Reims,19,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
505,Mamadou Diakhon,,LW,Reims,18,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",Unverified estimation
